name,primary_muscle,secondary_muscles,equipment,experience_level,overview,instructions,tips,video_url,source_url
Abdominal Air Bike (AKA Bicycle) Video Exercise Guide,Abs,None,None,None,The abdominal air bike is probably the most feared abdominal movement from anyone who’s performed an at-home ab workout video.The bicycle exercise targets the whole abdomen and places constant tension on the mid-section as you go through the motions on both sides.This exercise is an advanced variation of acrunch.It can be performed for timed sets or as a set with a fixed rep range.,"Lay supine in a relaxed position with your arms behind your head and legs straight.Exhale as you raise one knee towards your face while driving the opposite elbow to the knee.Once your abs are fully contracted, slowly lower yourself back to the starting position and repeat on the opposite side.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/vV_sKNCpiVM?rel=0,https://www.muscleandstrength.com/exercises/abdominal-air-bike.html
Floor Crunch (legs on bench) Video Exercise Guide,Abs,None,None,None,,"Set up for the floor crunch by laying a mat down on the floor and positioning a flat bench at the end of the mat to form a T shape.Lay down on the mat and put your legs up on the bench. Your calves should be resting on the top of the bench and your legs should be bent at right angles.Touch the side of your head with your fingertips (do not put your arms behind your neck!).Lift your shoulder blades slightly off the mat to start the exercise, then crunch your abs bringing your elbows in towards your waist.Pause for 1 second at the top, and slowly lower back down to the start position.Crunch Tips:Keep your shoulder blades just off the mat for the entire set.Pause for longer at the top of the movement to add extra intensity.",,,https://www.muscleandstrength.com/exercises/floor-crunch-legs-on-bench.html
Exercise Ball Crunch Video Exercise Guide,Abs,None,None,None,,"The exercise ball crunch is a great all round ab exercise. Lower back support makes it ideal for those with lower back problems/injuries. Sit on the exercise ball with your feet flat on the floor wider than shoulder with apart.Step forward with your feet allowing the exercise ball to roll back to your lower back.Touch the side of your head with the tips of your fingers. This is the start position.Crunching your abs, pull your torso up so your elbows are aiming for your knees.Squeeze the abs tight and pause.Then lower back to the start position.Repeat for desired reps.​Exercise Tips:The longer you hold the crunch the harder your ab muscles have to work.Increase the effectiveness of this exercise by holding the crunch for a slow count of 2.",,,https://www.muscleandstrength.com/exercises/swiss-ball-crunch.html
Russian Twist Video Exercise Guide,Abs,None,None,None,,"Set up for the Russian Twist by getting a mat and laying down on your back.Pull your knees up so that your calves are at a right angle to your thighs.Put one hand over the other, palms facing your feet and point towards the ceiling.To begin the set, raise your shoulder blades off the mat.Twisting at your torso, roll your hands over to the left and back to the right.Lower your shoulder blades back down to the mat.Repeat the whole movement for the required reps.​Exercise Tips:The higher you lift your shoulder blades off the mat, the harder the exercise becomes.For an advanced alternative to the Russian Twist, hold a dumbbell in your hands.",,https://player.vimeo.com/video/877885324?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/russian-twist.html
Hanging Knee Raise Video Exercise Guide,Abs,Forearms,Forearms,Forearms,,"The hanging knee raise hits your lower abs. You can hang from literally anything to do this exercise, but the most popular method using hanging from a pull up bar.Grip the bar with hands around shoulder width apart. Increase the width if you're tall and your feet touch the floor.Once you're hanging with your feet slightly off the floor, slowly pull your knees up keeping your legs together.Pause for a second, and slowly lower your knees back to the starting position.Repeat for desired reps.Knee Raise Tips:You must do this exercise slowly. If you want to get the most benefit out of the hanging knee raise, slow it down.As you become more advanced, you can place a dumbbell between your feet.Avoid swinging your body, keeping your torso as still as possible.",,,https://www.muscleandstrength.com/exercises/hanging-knee-raise.html
Lying Floor Knee Tuck Video Exercise Guide,Abs,None,None,None,The lying floor knee tuck is a variation of theabdominal crunchand an exercise used to isolate the muscles of the abdomen.The lying floor knee tuck is a flexion based exercise which keeps the lower abdominal muscles under constant tension during the entire range of motion.,"Lay supine in a relaxed position with your legs straight and your hands underneath your low back for support.Raise the knees toward your forehead while contracting your abdominals and exhaling.Once your abs are fully contracted and your knees are slightly above parallel, slowly lower your legs back to the starting position.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/V95h0UX8UyI?rel=0,https://www.muscleandstrength.com/exercises/lying-floor-knee-raise.html
Rotating Mountain Climber Video Exercise Guide,Abs,None,None,None,The rotating mountain climber is a variation of the mountain climber and an exercise used to target the muscles of the core.The rotating mountain climber stems from theplankexercise family tree and works the core through stability (maintaining a neutral spine) and flexion (driving the knee towards the elbow).The rotating mountain climber will incorporate the obliques to a greater extent than the traditional variation of the exercise.,Assume a plank pushup position with your hands underneath your shoulders.Drive one knee towards the opposing elbow until the hip reaches 90 degrees of flexion.Slowly return to the starting position and repeat for the desired number of repetitions.,"Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath.Move slowly but methodically. The goal is control within space, not simply completion of repetitions.Exhale as you drive the knee up.Ensure that you don’t lift the knee too high. If the pelvis tucks under or you lose control of a neutral spine then you’ve moved too far.",https://www.youtube.com/embed/5ZL0gFRjCTw?rel=0,https://www.muscleandstrength.com/exercises/rotating-mountain-climber
Alternate Straight Leg Lower Video Exercise Guide,Abs,None,None,None,The alternating straight leg lower is an exercise used to strengthen the muscles of the abs.The alternating straight leg lower utilizing a slow eccentric to place tension on the core as you fight to stabilize your body during the range of motion.It is an anti-extension based ab exercise.,"Setup in a supine position with your legs straight, hips flexed, and arms by your sides.Slowly lower one leg as you exhale and maintain the position of hip flexion on the other side.Return back to the starting position and repeat on the opposite side.Repeat for the desired number of total repetitions.","Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath.Use your breath to drive abdominal activation, exhale as you lower the leg.Move slowly but methodically. The goal is control within space, not simply completion of repetitions.The heel doesn’t have to touch the floor. In fact, in most cases it will actually generate compensations if someone is missing end range hip extension.If you find that you can’t keep the position of hip flexion on the non working leg, then wrap a band around your foot and pull down gently on the band with your hands. This will help to enhance motor control during the completion of repetitions.",https://www.youtube.com/embed/eiF6KbbXfb8?rel=0,https://www.muscleandstrength.com/exercises/alternate-straight-leg-lowering
Hanging Knee Raise With Twist Video Exercise Guide,Abs,Forearms,Forearms,Forearms,,"The twisting hanging knee raise hits the lower abs and obliques. You can hang off literally anything that will hold your weight for this exercise. Most people will hang from a pull up bar. Hang off the with a slightly wider than shoulder width grip.Once you're hanging with your feet slightly off the floor, pull your knees up and across to the left side of your body.Pause, then slowly lower them back down.Now raise your knees up and across to the right hand side of your body.Lower back to start position. This is one rep.Repeat for desired reps.​Exercise Tips:Hold at the top of the movement (with your knees up) to increase the intensity of the twisting knee raise.Advanced athletes can add weight by holding a dumbbell between the feet.",,https://player.vimeo.com/video/877885352?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/twisting-hanging-knee-raise.html
Standing Stomach Vacuum Video Exercise Guide,Abs,None,None,None,The standing stomach vacuum is a bodyweight core exercise that can be done from anywhere.It is a standing variation of theplankthat is used to isolate the abdominal muscles for a focused contraction.,"In a standing position, place your hands overhead or on your sides and exhale all of the air from your lungs.Once you’ve completely exhaled, think about trying to draw your belly button to your spine.Hold for the desired amount of time and then repeat for assigned number of repetitions.",Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.,https://www.youtube.com/embed/ODOHve6b8q8?rel=0,https://www.muscleandstrength.com/exercises/standing-stomach-vacuum
Plank to Hip Raise Video Exercise Guide,Abs,None,None,None,"The plank to hip raise is a variation of the plank exercise and an exercise used to strengthen the abdominal muscles.The plank to hip raise works the abs through a few different force types. The first is obviously through isometrics while performing the plank.Then, it shifts to a pull movement as you contract the abs to pike your hips.",Assume a kneeling position with your elbows resting slightly above your head on the floor.Extend each leg and maintain a hip width stance.Push your elbows into the floor and pike your hips.Lower your hips back to the starting position and repeat for the desired number of repetitions.,"Move slowly but methodically. The goal is control within space, not simply completion of repetitions.If you struggle to get your arms overhead and your hips piked then examine your thoracic extension and look to improve it via soft tissues strategies found on the site.Press your elbows into the floor to help engage your serratus anterior. Your upper back should be filled out and there shouldn’t be an indention between your shoulder blades.Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath.",https://www.youtube.com/embed/9Wd3xH6-QYw?rel=0,https://www.muscleandstrength.com/exercises/plank-to-hip-raise
Dead Bug Video Exercise Guide,Abs,None,None,None,The deadbug is an exercise used to strengthen the muscles of the abs. The exercise stems from theplankexercise family tree.The deadbug works as an anti-extension abdominal exercise in which you must keep the spine stable as you slowly raise your arm overhead.The deadbug gets its name because you look like a dead bug on its back with its legs in the air when you are performing the exercise.,Setup in a supine position with your legs in a 90/90 position (90 degree bend at the hips and knees) and your arms reaching towards the ceiling.Extend the opposite arm and leg simultaneously as you exhale.Return back to the starting position and repeat on the opposite side.Repeat for the desired number of total repetitions.,"Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath.Move slowly but methodically. The goal is control within space, not simply completion of repetitions.Ensure that you exhale as the arm moves overhead and the leg extends. The goal is to keep the ribs down and prevent the lower back from hyperextending.If you can’t maintain a neutral spine while moving the arm and leg simultaneously, then begin with just the arms or legs by themselves. Only incorporate more elements when you’ve mastered control of the individual components.",https://www.youtube.com/embed/eEhoSeBFoBk?rel=0,https://www.muscleandstrength.com/exercises/dead-bug
Abominal Hip Thrust Video Exercise Guide,Abs,None,None,None,,"Grab a flat bench and lay down on your back with your feet hanging off one end.Grasp the bench above your head and bring your legs up until they're pointing straight up towards the ceiling. This is the start of the exercise.Press through your feet and raise your hips toward the ceiling, forming a straight line from your knees to your shoulders.Slowly lower your hips back to the floor, keeping your core engaged.Repeat for desired reps.","Make sure to tighten your core before lifting your hips. This ensures you're activating your abdominal muscles rather than relying too much on your lower back.Avoid using momentum. Focus on slowly lifting your hips and controlling the lowering phase to maximize muscle engagement.While your feet push through the floor, focus on using your abdominals to lift your hips. The goal is to engage the lower abs, not just the glutes.Inhale as you lower your hips, and exhale as you thrust upward, helping maintain rhythm and stability.",https://player.vimeo.com/video/877880915?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/hip-thrusts.html
Pallof Press Video Exercise Guide,Abs,None,None,None,"The Pallof press is an exercise commonly used to strengthen the muscles of the abs and obliques.It works the core by providing isometric tension while you move a weight through a brief range of motion.It’s an extremely versatile exercises which has had many variations stem from it to challenge the core in many different ways and to help accomplish different goals.If you have a goal of increasing core strength, the pallof press should be a staple in your core workouts.",Assume a standing position and attach a handle to a cable stack at chest height.Hold the handle to your chest and assume an athletic base position with your feet slightly wider than shoulder width apart.Press the handle horizontally to extension as you exhale.Return to the starting position and repeat for the desired number of repetitions on both sides.,"Don’t allow the hips to rotate as you press the handle to extension.Ensure that you exhale as you press to use the breath to drive more abdominal activation.If you find you can’t maintain a neutral spinal position during this variation, regress to a supine version and then progress into a half kneeling and tall kneeling version once you gain the requisite lumbo-pelvic control.Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath.",https://www.youtube.com/embed/SFJprbDnaS0?rel=0,https://www.muscleandstrength.com/exercises/pallof-press
Straight Leg Toe Touch (Floor Toe Reach) Video Exercise Guide,Abs,None,None,None,The straight leg toe touch is a variation of theabdominal crunchand an exercise used to isolate the muscles of the abdomen.The straight leg toe touch keeps constant tension on the lower abs as you go through flexion with the top portion of your abs.,"Lay supine in a relaxed position with your arms and legs straight.Raise your legs straight until they are perpendicular with the floor.Exhale as you reach straight up towards your toes.Once your abs are fully contracted and your upper back is off the floor, slowly lower yourself back to the starting position.Complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection.If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements.Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",https://www.youtube.com/embed/yjfLpiFyGxs?rel=0,https://www.muscleandstrength.com/exercises/floor-reach.html
Seated Barbell Twist Video Exercise Guide,Abs,None,None,None,,"The seated barbell twist exercise focuses on your obliques. Grab a light barbell and rest it on the muscle on the back of your neck. Do not rest the weight on your neck!Sit down on a flat bench with your feet at a wider than shoulder width stance, firmly on the floor.Keep your back firm and straight. Slowly twist your torso to the right and then to the left.Twist as far as possible. Do not move your head with the twist, but keep facing forward.​Exercise Tips:Keep your head facing forward. Don't look from side to side.Keep your abs tight throughout the whole set.Make sure you have enough room if you're using an Olympic bar!",,https://player.vimeo.com/video/877885279?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/seated-barbell-twist.html
Roman Chair Leg Raise Video Exercise Guide,Abs,"Hip Flexors, Lower Back","Hip Flexors, Lower Back","Hip Flexors, Lower Back","The Roman Chair Leg Raise is an effective exercise primarily targeting the lower abdominal muscles, specifically the rectus abdominis.It also engages the hip flexors and works the obliques and lower back muscles as secondary stabilizers.This movement strengthens the muscles in the lower torso, making it beneficial for improving posture, supporting the spine, and enhancing athletic performance.The controlled motion of the leg raise helps develop both flexibility and strength in the lower body, particularly in the abdominal and hip regions.","Position yourself on the Roman chair with your back against the pad and your legs hanging straight down.Grip the handles for support. This is the starting position.Lift your legs toward the ceiling by squeezing your lower abs. Keep your legs straight as you raise them.Stop when your legs are about parallel to the floor or higher if you can.Slowly lower your legs back down to the starting position with control, avoiding letting them drop quickly. This is one rep.Perform the desired number of reps, focusing on keeping your core engaged throughout the movement.","Always keep your core tight throughout the movement to protect your lower back and maximize the workout.Control both the raising and lowering phases of the exercise to fully engage your abs and avoid using momentum.Focus on keeping your legs straight as you lift them to better target your lower abs.Exhale as you lift your legs, and inhale as you lower them.Start with a lower range of motion if necessary, and gradually increase as you get stronger.",https://player.vimeo.com/video/877880783?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/horizontal-leg-raise.html
Seated Knee Tucks Video Exercise Guide,Abs,None,None,None,,"Sit on the edge of a sturdy chair or bench with your hands resting beside you for support.Raise your legs so your knees are bent at a 90-degree angle, with your feet off the ground. This is the starting position.Bring your knees toward your chest, squeezing your abs to tuck them in.Slowly extend your legs back out to the starting position, keeping them off the ground. This is one rep.Do the desired number of reps, maintaining control and keeping your core engaged.",,https://player.vimeo.com/video/877881043?badge=0&autopause=0&player_id=0&app_id=58479,https://www.muscleandstrength.com/exercises/seated-leg-tucks.html
