name,primary_muscle,secondary_muscles,muscle_group_category,equipment,experience_level,mechanics_type,force_type,exercise_type,overview,instruction_step_count,tip_count,image_count,source_url,video_url,instruction_step_1,tip_1,name,primary_muscle,secondary_muscles,muscle_group_category,equipment,experience_level,mechanics_type,force_type,exercise_type,overview,instruction_step_count,tip_count,image_count,source_url,video_url,instructions_raw,tips_raw
Frog Sit Up,Abs,None,abs,Bodyweight,Beginner,Isolation,Pull (Bilateral),Strength,"The frog sit up is an exercise used to target the muscles of the core. It is a flexion based exercise and may not be suitable for those with low back pain. The frog sit up is a variation of the sit up. The main difference in the frog sit up is the foot positioning, which as a result, encourages you to open up your hips more than a standard sit up would.",1,1,0,https://www.muscleandstrength.com/exercises/frog-sit-up,https://www.youtube.com/embed/BFBjfwAkhhY?rel=0,"Lay supine in a relaxed position with your arms crossed, feet together, legs open, and knees pushed outwards. Exhale and squeeze your abs as you raise your upper back off the floor. Once your abs are fully contracted, slowly lower yourself back to the starting position and complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck.",Frog Sit Up,Abs,None,abs,Bodyweight,Beginner,Isolation,Pull (Bilateral),Strength,"The frog sit up is an exercise used to target the muscles of the core. It is a flexion based exercise and may not be suitable for those with low back pain. The frog sit up is a variation of the sit up. The main difference in the frog sit up is the foot positioning, which as a result, encourages you to open up your hips more than a standard sit up would.",1,1,0,https://www.muscleandstrength.com/exercises/frog-sit-up,https://www.youtube.com/embed/BFBjfwAkhhY?rel=0,"Lay supine in a relaxed position with your arms crossed, feet together, legs open, and knees pushed outwards. Exhale and squeeze your abs as you raise your upper back off the floor. Once your abs are fully contracted, slowly lower yourself back to the starting position and complete for the assigned number of repetitions.","Exhale hard like you’re blowing out candles on a cake and hold the contraction for a second in order to improve mind muscle connection. If your lower back bothers you during this exercise, choose more anti extension and anti rotation based movements. Avoid putting the hands behind the head as this can lead to excess strain upon the neck."
Rotating Crunch (Legs On Bench),Abs,None,abs,Bodyweight,Beginner,Isolation,Pull,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/twisting-bench-crunch.html,https://player.vimeo.com/video/877885485?badge=0&autopause=0&player_id=0&app_id=58479,"The twisting bench crunch works both the abs and obliques. Set up for the crunch by laying a mat down on the floor and positioning a flat bench at the end of the mat to form a T shape. Lay down on the mat and put your legs up on the bench. Your calves should be resting on the top of the bench and your legs should be bent at a right angle. Touch the side of your head with your fingertips (do not put your arms behind your neck!). Lift your shoulder blades slightly off the mat to start the exercise, then crunch your abs bringing your right elbow up towards the left side of your waist. Pause for 1 second at the top, and slowly lower back down to the start position. Repeat for the left elbow. ​Exercise Tips: Always keep your shoulder blades off the floor throughout the set. Always use controlled form - it's a slow movement not a quick jerk. Jerking can result in strains and injuries. Pause longer at the top for added intensity.",,Rotating Crunch (Legs On Bench),Abs,None,abs,Bodyweight,Beginner,Isolation,Pull,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/twisting-bench-crunch.html,https://player.vimeo.com/video/877885485?badge=0&autopause=0&player_id=0&app_id=58479,"The twisting bench crunch works both the abs and obliques. Set up for the crunch by laying a mat down on the floor and positioning a flat bench at the end of the mat to form a T shape. Lay down on the mat and put your legs up on the bench. Your calves should be resting on the top of the bench and your legs should be bent at a right angle. Touch the side of your head with your fingertips (do not put your arms behind your neck!). Lift your shoulder blades slightly off the mat to start the exercise, then crunch your abs bringing your right elbow up towards the left side of your waist. Pause for 1 second at the top, and slowly lower back down to the start position. Repeat for the left elbow. ​Exercise Tips: Always keep your shoulder blades off the floor throughout the set. Always use controlled form - it's a slow movement not a quick jerk. Jerking can result in strains and injuries. Pause longer at the top for added intensity.",
Half Kneeling Pallof Press,Abs,None,abs,Cable,Beginner,Compound,Isometric,Strength,"The half kneeling pallof press is a variation of the pallof press and an exercise used to strengthen the muscle of the core. The pallof press, in general, works the core by placing isometric tension on the muscle groups as you move a weight from the cable stack through a slight range of motion. The half kneeling pallof press can be used to help you progress to a full standing pallof press.",1,1,0,https://www.muscleandstrength.com/exercises/half-kneeling-pallof-press,https://www.youtube.com/embed/aGceOEesl2M?rel=0,Assume a half kneeling position and attach a handle to a cable stack at chest height. Hold the handle to your chest and assume a hip width stance with one hip in flexion and the other in extension. Press the handle horizontally to extension as you exhale. Return to the starting position and repeat for the desired number of repetitions on both sides.,"Don’t allow the hips to rotate as you press the handle to extension. Ensure that you exhale as you press to use the breath to drive more abdominal activation. If you find you can’t maintain a neutral spinal position during this variation, regress to a supine version and then progress into a half kneeling and tall kneeling version once you gain the requisite lumbo-pelvic control. Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath.",Half Kneeling Pallof Press,Abs,None,abs,Cable,Beginner,Compound,Isometric,Strength,"The half kneeling pallof press is a variation of the pallof press and an exercise used to strengthen the muscle of the core. The pallof press, in general, works the core by placing isometric tension on the muscle groups as you move a weight from the cable stack through a slight range of motion. The half kneeling pallof press can be used to help you progress to a full standing pallof press.",1,1,0,https://www.muscleandstrength.com/exercises/half-kneeling-pallof-press,https://www.youtube.com/embed/aGceOEesl2M?rel=0,Assume a half kneeling position and attach a handle to a cable stack at chest height. Hold the handle to your chest and assume a hip width stance with one hip in flexion and the other in extension. Press the handle horizontally to extension as you exhale. Return to the starting position and repeat for the desired number of repetitions on both sides.,"Don’t allow the hips to rotate as you press the handle to extension. Ensure that you exhale as you press to use the breath to drive more abdominal activation. If you find you can’t maintain a neutral spinal position during this variation, regress to a supine version and then progress into a half kneeling and tall kneeling version once you gain the requisite lumbo-pelvic control. Do not hold your breath, you shouldn’t be using respiration to compensate for a lack of stability. Learn how to move while maintaining position without having to rely upon your breath."
Hip Adduction Machine,Adductors,"Glutes, Hamstrings",adductors,Machine,Beginner,Isolation,Push (Bilateral),Strength,"The hip adduction machine exercise is an exercise used to strengthen the muscles of the adductors. Having strong adductor plays a critical role in using maximal weights on lower body exercises such as squats and lunges. From an aesthetic standpoint, using the hip adduction machine can help in building shapely inner thighs.",1,1,0,https://www.muscleandstrength.com/exercises/hip-adduction-machine.html,https://www.youtube.com/embed/Oj7IN952fSg?rel=0,"Setup in an upright position with your back against the pad and your spine neutral. Exhale and pull the legs together as you squeeze the pads inward. Once the pads touch, slowly return to the starting position. Repeat for the desired number of repetitions.","Experiment with foot and pelvis position. Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction. Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output. If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad).",Hip Adduction Machine,Adductors,"Glutes, Hamstrings",adductors,Machine,Beginner,Isolation,Push (Bilateral),Strength,"The hip adduction machine exercise is an exercise used to strengthen the muscles of the adductors. Having strong adductor plays a critical role in using maximal weights on lower body exercises such as squats and lunges. From an aesthetic standpoint, using the hip adduction machine can help in building shapely inner thighs.",1,1,0,https://www.muscleandstrength.com/exercises/hip-adduction-machine.html,https://www.youtube.com/embed/Oj7IN952fSg?rel=0,"Setup in an upright position with your back against the pad and your spine neutral. Exhale and pull the legs together as you squeeze the pads inward. Once the pads touch, slowly return to the starting position. Repeat for the desired number of repetitions.","Experiment with foot and pelvis position. Depending upon the shape of your hip, you may need a slightly more internal or external starting position to fully maximize the contraction. Similarly, be mindful of your pelvic position - don’t allow the back to arch as this will tip the hips forward and place the adductors under excessive stretch before the contraction which can affect force output. If you can’t seem to figure out how to change the position of your pelvis while seated, experiment with changing the position of the torso (i.e. lean forward or push your back into the pad)."
Alternating Lateral Lunge with Overhead Reach,Adductors,"Calves, Hamstrings, Shoulders, Upper Back",adductors,Bodyweight,Beginner,Compound,Dynamic Stretching,Warmup,"The alternating lateral lunge with overhead reach is a warm-up exercise used to dynamically stretch the lower body, shoulders, and upper back. The stretch primarily increases mobility in the groin, but will also be felt in the shoulders. Warming up adequately is an important part of any workout routine, and maintaining mobility can increase the overall effectiveness of certain exercises.",1,1,0,https://www.muscleandstrength.com/exercises/alternating-lateral-lunge-with-overhead-reach,https://www.youtube.com/embed/cGQ3H4sZbSM?rel=0,"Stand in an upright position with your feet together and arms at your sides. Step laterally and sit back into your hip while you extend your opposite leg. Once at the bottom of the lateral lunge, keep your arms straight and raise them into shoulder flexion. After you reach overhead, lower the arms and push back to your starting position. Repeat for the desired number of repetitions on both sides.","As your raise the arms overhead, make sure the movements comes entirely from the shoulders and not the spine. Exhale as you reach and focus on activating the musculature of your upper back and posterior shoulder. During the lateral lunge, if you’re able to descend deep into the movement, experiment with allowing the sole of the shoe to come off the floor and point your toes towards the ceiling. Depending upon each individual’s bony hip anatomy, this may feel better.",Alternating Lateral Lunge with Overhead Reach,Adductors,"Calves, Hamstrings, Shoulders, Upper Back",adductors,Bodyweight,Beginner,Compound,Dynamic Stretching,Warmup,"The alternating lateral lunge with overhead reach is a warm-up exercise used to dynamically stretch the lower body, shoulders, and upper back. The stretch primarily increases mobility in the groin, but will also be felt in the shoulders. Warming up adequately is an important part of any workout routine, and maintaining mobility can increase the overall effectiveness of certain exercises.",1,1,0,https://www.muscleandstrength.com/exercises/alternating-lateral-lunge-with-overhead-reach,https://www.youtube.com/embed/cGQ3H4sZbSM?rel=0,"Stand in an upright position with your feet together and arms at your sides. Step laterally and sit back into your hip while you extend your opposite leg. Once at the bottom of the lateral lunge, keep your arms straight and raise them into shoulder flexion. After you reach overhead, lower the arms and push back to your starting position. Repeat for the desired number of repetitions on both sides.","As your raise the arms overhead, make sure the movements comes entirely from the shoulders and not the spine. Exhale as you reach and focus on activating the musculature of your upper back and posterior shoulder. During the lateral lunge, if you’re able to descend deep into the movement, experiment with allowing the sole of the shoe to come off the floor and point your toes towards the ceiling. Depending upon each individual’s bony hip anatomy, this may feel better."
Rocking Frog Stretch,Adductors,"Shoulders, Upper Back",adductors,Bodyweight,Beginner,Compound,Dynamic Stretching,Warmup,"The rocking frog stretching drill is a form of dynamic stretching that warms up the muscles of the groin, upper back and shoulders. Dynamic stretching is critical prior to performing your workouts as it allows you to activate your central nervous system and engage the muscle groups you’ll use later in your workout. Incorporating them into your warm up routine will help you get better results and avoid injury.",1,1,0,https://www.muscleandstrength.com/exercises/rocking-frog-stretch,https://www.youtube.com/embed/ABcuTyDyRhU?rel=0&showinfo=0,"In a quadruped position, ensure the hands are underneath the shoulders, the knees are underneath the hips, and the toes are tucked. Spread the knees wide until you feel a stretch within your groin. From here, push your hands into the ground to drive your hips back and keep your chest upright. Push back until your hips run out of range of motion and then return to the starting position. Repeat for the desired number of repetitions.","Focus on keeping all of the movement relegated to the hip, don’t allow the spine to move to compensate a lack of hip mobility. Push into the floor with your hands and focus on keeping the head neutral. If you feel a pinch in the front portion of your hips while you rock back, experiment with different knee widths. Depending upon your individual anatomy, you may need a slightly wider or narrower stance.",Rocking Frog Stretch,Adductors,"Shoulders, Upper Back",adductors,Bodyweight,Beginner,Compound,Dynamic Stretching,Warmup,"The rocking frog stretching drill is a form of dynamic stretching that warms up the muscles of the groin, upper back and shoulders. Dynamic stretching is critical prior to performing your workouts as it allows you to activate your central nervous system and engage the muscle groups you’ll use later in your workout. Incorporating them into your warm up routine will help you get better results and avoid injury.",1,1,0,https://www.muscleandstrength.com/exercises/rocking-frog-stretch,https://www.youtube.com/embed/ABcuTyDyRhU?rel=0&showinfo=0,"In a quadruped position, ensure the hands are underneath the shoulders, the knees are underneath the hips, and the toes are tucked. Spread the knees wide until you feel a stretch within your groin. From here, push your hands into the ground to drive your hips back and keep your chest upright. Push back until your hips run out of range of motion and then return to the starting position. Repeat for the desired number of repetitions.","Focus on keeping all of the movement relegated to the hip, don’t allow the spine to move to compensate a lack of hip mobility. Push into the floor with your hands and focus on keeping the head neutral. If you feel a pinch in the front portion of your hips while you rock back, experiment with different knee widths. Depending upon your individual anatomy, you may need a slightly wider or narrower stance."
Cable Hip Adduction,Adductors,"Glutes, Hamstrings",adductors,Cable,Beginner,Isolation,N/A,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/cable-hip-adduction.html,https://player.vimeo.com/video/760008232?badge=0&autopause=0&player_id=0&app_id=58479,"Attach an ankle strap to a low pulley on a cable machine. Stand next to the pulley machine and attach the ankle strap to the ankle closest to the pulley machine. Stand with feet shoulder-width apart, and hold onto the machine or nearby support for balance. Keeping your leg straight, lift the working left and move it across your body until your ankle passes your stationary leg. Pause, then slowly return your leg to the starting position with control, resisting the cable tension. Perform the desired number of reps, then switch legs.",,Cable Hip Adduction,Adductors,"Glutes, Hamstrings",adductors,Cable,Beginner,Isolation,N/A,Strength,,1,0,0,https://www.muscleandstrength.com/exercises/cable-hip-adduction.html,https://player.vimeo.com/video/760008232?badge=0&autopause=0&player_id=0&app_id=58479,"Attach an ankle strap to a low pulley on a cable machine. Stand next to the pulley machine and attach the ankle strap to the ankle closest to the pulley machine. Stand with feet shoulder-width apart, and hold onto the machine or nearby support for balance. Keeping your leg straight, lift the working left and move it across your body until your ankle passes your stationary leg. Pause, then slowly return your leg to the starting position with control, resisting the cable tension. Perform the desired number of reps, then switch legs.",
Deep Squat Prying,Adductors,"Glutes, Hamstrings, Hip Flexors, Quads",adductors,Kettle Bells,Beginner,Compound,Dynamic Stretching,Warmup,"The deep squat prying drill is both an activation exercise and a drill that promotes increased mobility. The deep squat portion of the drill is beneficial in activating the muscles of the lower body including the adductors, quads, glutes, and hamstrings. The prying part of the drill helps open up the hips to promote more fluid range of motions during your working sets later in the workout. One would typically perform the deep squat prying drill at the beginning of their workouts as a dynamic stretch in their specific warm up routine.",1,1,0,https://www.muscleandstrength.com/exercises/deep-squat-prying,https://www.youtube.com/embed/GWhI41W8xnk?rel=0,"In a standing position with a shoulder width stance, hold a kettlebell at chest height using both hands. Squat down by breaking at the hips and knees simultaneously. Sit as deep as comfortably possible. Rock from side to side while flexing the ankles and pushing the knees out with the elbows to open up the hips. Repeat for the desired number of repetitions or time.","Focus on keeping your spine tall in the bottom position and don’t allow the weight to pull your forward. Ideally you should be able to sit comfortably in the bottom position and open up the hips and ankles as you rock side to side. To get into a deep squat, you should try to focus on sitting down rather than back to keep your torso upright.",Deep Squat Prying,Adductors,"Glutes, Hamstrings, Hip Flexors, Quads",adductors,Kettle Bells,Beginner,Compound,Dynamic Stretching,Warmup,"The deep squat prying drill is both an activation exercise and a drill that promotes increased mobility. The deep squat portion of the drill is beneficial in activating the muscles of the lower body including the adductors, quads, glutes, and hamstrings. The prying part of the drill helps open up the hips to promote more fluid range of motions during your working sets later in the workout. One would typically perform the deep squat prying drill at the beginning of their workouts as a dynamic stretch in their specific warm up routine.",1,1,0,https://www.muscleandstrength.com/exercises/deep-squat-prying,https://www.youtube.com/embed/GWhI41W8xnk?rel=0,"In a standing position with a shoulder width stance, hold a kettlebell at chest height using both hands. Squat down by breaking at the hips and knees simultaneously. Sit as deep as comfortably possible. Rock from side to side while flexing the ankles and pushing the knees out with the elbows to open up the hips. Repeat for the desired number of repetitions or time.","Focus on keeping your spine tall in the bottom position and don’t allow the weight to pull your forward. Ideally you should be able to sit comfortably in the bottom position and open up the hips and ankles as you rock side to side. To get into a deep squat, you should try to focus on sitting down rather than back to keep your torso upright."
Lateral Kneeling Adductor Mobilization,Adductors,Calves,adductors,Bodyweight,Beginner,Compound,Dynamic Stretching,Warmup,The lateral kneeling adductor mobilization drill is a form of dynamic stretching and an exercise used to alleviate tension in the adductors. Ensuring you’re properly warmed up is important for maximizing your time in the gym and avoiding injury.,1,1,0,https://www.muscleandstrength.com/exercises/lateral-kneeling-adductor-mobilization,https://www.youtube.com/embed/NsZRuAHF7sI?rel=0&showinfo=0,"In an quadruped position, ensure the toes are tucked and the hands are directly underneath the shoulders. Straighten one leg to the side and keep the foot flat on the floor. Exhale and push your hands into the floor to direct your hips backwards to increase the stretch on your groin. Once you run out of range of motion in your adductor, rock back to the starting position and repeat for the assigned number of repetitions on both sides.","If you feel a pinch on the outside of the hip joint instead of a stretch on the inside portion (i.e. the adductor) then you may have adopted a stance is slightly too wide and as such you’re getting a bit of bone on bone contact. Bring your stance in a touch and push back a bit further or switch to more advanced progression such as a cossack squat. Focus on keeping your spine neutral by thinking about “making your spine long” as you rock back. If you feel your pelvis rolling underneath or spine rounding, then you’ve essentially run out of range of motion at the hip and you’re not compensating with the spine. Move slowly and methodically, to be able to use new ranges of motion, you must be able to control them.",Lateral Kneeling Adductor Mobilization,Adductors,Calves,adductors,Bodyweight,Beginner,Compound,Dynamic Stretching,Warmup,The lateral kneeling adductor mobilization drill is a form of dynamic stretching and an exercise used to alleviate tension in the adductors. Ensuring you’re properly warmed up is important for maximizing your time in the gym and avoiding injury.,1,1,0,https://www.muscleandstrength.com/exercises/lateral-kneeling-adductor-mobilization,https://www.youtube.com/embed/NsZRuAHF7sI?rel=0&showinfo=0,"In an quadruped position, ensure the toes are tucked and the hands are directly underneath the shoulders. Straighten one leg to the side and keep the foot flat on the floor. Exhale and push your hands into the floor to direct your hips backwards to increase the stretch on your groin. Once you run out of range of motion in your adductor, rock back to the starting position and repeat for the assigned number of repetitions on both sides.","If you feel a pinch on the outside of the hip joint instead of a stretch on the inside portion (i.e. the adductor) then you may have adopted a stance is slightly too wide and as such you’re getting a bit of bone on bone contact. Bring your stance in a touch and push back a bit further or switch to more advanced progression such as a cossack squat. Focus on keeping your spine neutral by thinking about “making your spine long” as you rock back. If you feel your pelvis rolling underneath or spine rounding, then you’ve essentially run out of range of motion at the hip and you’re not compensating with the spine. Move slowly and methodically, to be able to use new ranges of motion, you must be able to control them."
Adductor Foam Rolling,Adductors,None,adductors,Foam Roll,Beginner,Isolation,Compression,SMR,"Foam rolling your adductors is a great way to warm up and cool down for your workout, especially if you plan to perform lower body exercises that require the adductors to be more mobile. When you foam roll the adductors, or any muscle group for that matter, you alleviate some of the tension that is built up during the day and your workouts.",1,1,0,https://www.muscleandstrength.com/exercises/adductor-foam-rolling,https://www.youtube.com/embed/kk42b6pg3hY?rel=0,"In a prone position, place one leg straight and another at 90 degrees out to the side. Position the foam roller directly underneath the 90 degree leg on the inner thigh. Support your upper body using your forearms and adjust pressure into the roller by applying more or less force through the forearms and foot. Slowly roll up and down the length of the adductor (groin) for 20-30 seconds. Repeat on the other side.","The most important thing you can remember with any soft tissue work: KEEP BREATHING. Don’t hold your breath, you want to release tension, not generate it. Do not allow yourself to fall into hyperextension, keep tension through the abs. If you find a tender spot, pause for 5-6 seconds and focus on slow, deep breaths and try to relax. Foam rolling may be uncomfortable but that’s not an excuse to avoid it. It hurts because there may be physiological or neurological influences generating a pain response. The more you roll the better it’ll feel provided there’s no serious underlying mechanism. Don’t slump into the shoulder capsule, maintain an active upper body. If you notice any burning, numbness, or tingling, keep moving past that area. It’s likely a nerve and pausing on it for any length of time would not be a good idea. If you find a sensitive spot, pause for a second and take the joint through flexion and extension. This a method of active release known as “tack and floss”.",Adductor Foam Rolling,Adductors,None,adductors,Foam Roll,Beginner,Isolation,Compression,SMR,"Foam rolling your adductors is a great way to warm up and cool down for your workout, especially if you plan to perform lower body exercises that require the adductors to be more mobile. When you foam roll the adductors, or any muscle group for that matter, you alleviate some of the tension that is built up during the day and your workouts.",1,1,0,https://www.muscleandstrength.com/exercises/adductor-foam-rolling,https://www.youtube.com/embed/kk42b6pg3hY?rel=0,"In a prone position, place one leg straight and another at 90 degrees out to the side. Position the foam roller directly underneath the 90 degree leg on the inner thigh. Support your upper body using your forearms and adjust pressure into the roller by applying more or less force through the forearms and foot. Slowly roll up and down the length of the adductor (groin) for 20-30 seconds. Repeat on the other side.","The most important thing you can remember with any soft tissue work: KEEP BREATHING. Don’t hold your breath, you want to release tension, not generate it. Do not allow yourself to fall into hyperextension, keep tension through the abs. If you find a tender spot, pause for 5-6 seconds and focus on slow, deep breaths and try to relax. Foam rolling may be uncomfortable but that’s not an excuse to avoid it. It hurts because there may be physiological or neurological influences generating a pain response. The more you roll the better it’ll feel provided there’s no serious underlying mechanism. Don’t slump into the shoulder capsule, maintain an active upper body. If you notice any burning, numbness, or tingling, keep moving past that area. It’s likely a nerve and pausing on it for any length of time would not be a good idea. If you find a sensitive spot, pause for a second and take the joint through flexion and extension. This a method of active release known as “tack and floss”."
Standing Dumbbell Curl,Biceps,None,biceps,Dumbbell,Beginner,Isolation,Pull,Strength,,1,1,0,https://www.muscleandstrength.com/exercises/standing-dumbbell-curl.html,https://player.vimeo.com/video/756794078?badge=0&autopause=0&quality_selector=1&player_id=0&app_id=58479,"Assume the starting position for the standing dumbbell curl by grasping a pair of dumbbells and standing straight up, feet together, and dumbbells by your side. The dumbbells should not be touching your body. Your palms should face upwards. Take up the slack by bending the elbows slightly. Tension should be on the biceps. Slowly curl the dumbbells up as far as possible. Squeeze the biceps hard, and then slowly lower the dumbbells back down to the starting position. Repeat for desired reps.","The tension should be on the biceps at all times. Do not let them ""hang"" at the bottom of the exercise. Keep the rep timing slow and control the weight throughout the set. Do not let the dumbbells touch your body. And finally, do not swing the body back as you curl up the weight. The body should stay fixed throughout the movement. Focus on only moving your forearms.",Standing Dumbbell Curl,Biceps,None,biceps,Dumbbell,Beginner,Isolation,Pull,Strength,,1,1,0,https://www.muscleandstrength.com/exercises/standing-dumbbell-curl.html,https://player.vimeo.com/video/756794078?badge=0&autopause=0&quality_selector=1&player_id=0&app_id=58479,"Assume the starting position for the standing dumbbell curl by grasping a pair of dumbbells and standing straight up, feet together, and dumbbells by your side. The dumbbells should not be touching your body. Your palms should face upwards. Take up the slack by bending the elbows slightly. Tension should be on the biceps. Slowly curl the dumbbells up as far as possible. Squeeze the biceps hard, and then slowly lower the dumbbells back down to the starting position. Repeat for desired reps.","The tension should be on the biceps at all times. Do not let them ""hang"" at the bottom of the exercise. Keep the rep timing slow and control the weight throughout the set. Do not let the dumbbells touch your body. And finally, do not swing the body back as you curl up the weight. The body should stay fixed throughout the movement. Focus on only moving your forearms."
Standing Hammer Curl,Biceps,Forearms,biceps,Dumbbell,Beginner,Isolation,Pull,Strength,,1,1,0,https://www.muscleandstrength.com/exercises/standing-hammer-curl.html,https://player.vimeo.com/video/756794163?badge=0&autopause=0&quality_selector=1&player_id=0&app_id=58479,"The hammer curl is a great exercise for the biceps and forearms. Grab a pair of dumbbells and stand up with the dumbbells by your sides. With a neutral grip, bend your arms slightly to keep the tension on the biceps. With your palms still facing your body, slowly curl the dumbbells up as far as possible. Squeeze the biceps at the top of the movement, and then slowly lower the weight back to the starting position. Repeat for desired reps.",Keep the rep timing slow and control the weight for the whole set.,Standing Hammer Curl,Biceps,Forearms,biceps,Dumbbell,Beginner,Isolation,Pull,Strength,,1,1,0,https://www.muscleandstrength.com/exercises/standing-hammer-curl.html,https://player.vimeo.com/video/756794163?badge=0&autopause=0&quality_selector=1&player_id=0&app_id=58479,"The hammer curl is a great exercise for the biceps and forearms. Grab a pair of dumbbells and stand up with the dumbbells by your sides. With a neutral grip, bend your arms slightly to keep the tension on the biceps. With your palms still facing your body, slowly curl the dumbbells up as far as possible. Squeeze the biceps at the top of the movement, and then slowly lower the weight back to the starting position. Repeat for desired reps.",Keep the rep timing slow and control the weight for the whole set.
Incline Dumbbell Curl,Biceps,Forearms,biceps,Dumbbell,Beginner,Isolation,Pull (Bilateral),Strength,"The incline dumbbell curl is a variation of the dumbbell curl and an exercise used to build bigger biceps. The biceps is a tricky (and fun) muscle to target and putting yourself in various degrees of incline can help manipulate the range of motion for either a tighter contraction or deeper stretch. The incline dumbbell curl elongates the negative portion of the dumbbell curl, creating a deeper stretch on the biceps muscle tissue. Dumbbell curl variations are primarily popular among lifters looking to improve their aesthetics as direct arm work will have limited carry over into maximum strength.",1,1,0,https://www.muscleandstrength.com/exercises/incline-dumbbell-curl.html,https://www.youtube.com/embed/UeleXjsE-98?rel=0,"Position an incline bench at roughly 55-65 degrees, select the desired weight from the rack, and sit upright with your back flat against the pad. Using a supinated (palms up) grip, take a deep breath and curl both dumbbells towards your shoulders. Once the biceps are fully shortened, slowly lower the weights back to the starting position. Repeat for the desired number of repetitions.","Don’t allow the elbows to shift behind the body. Similarly, make sure the shoulder doesn’t shift forward in the socket as you lower the weight. Maintain a slight bend in the elbow at the bottom of the movement in order to keep tension through the biceps. Using a slow eccentric (lowering portion) of the exercise can help to improve tension and mind muscle connection.",Incline Dumbbell Curl,Biceps,Forearms,biceps,Dumbbell,Beginner,Isolation,Pull (Bilateral),Strength,"The incline dumbbell curl is a variation of the dumbbell curl and an exercise used to build bigger biceps. The biceps is a tricky (and fun) muscle to target and putting yourself in various degrees of incline can help manipulate the range of motion for either a tighter contraction or deeper stretch. The incline dumbbell curl elongates the negative portion of the dumbbell curl, creating a deeper stretch on the biceps muscle tissue. Dumbbell curl variations are primarily popular among lifters looking to improve their aesthetics as direct arm work will have limited carry over into maximum strength.",1,1,0,https://www.muscleandstrength.com/exercises/incline-dumbbell-curl.html,https://www.youtube.com/embed/UeleXjsE-98?rel=0,"Position an incline bench at roughly 55-65 degrees, select the desired weight from the rack, and sit upright with your back flat against the pad. Using a supinated (palms up) grip, take a deep breath and curl both dumbbells towards your shoulders. Once the biceps are fully shortened, slowly lower the weights back to the starting position. Repeat for the desired number of repetitions.","Don’t allow the elbows to shift behind the body. Similarly, make sure the shoulder doesn’t shift forward in the socket as you lower the weight. Maintain a slight bend in the elbow at the bottom of the movement in order to keep tension through the biceps. Using a slow eccentric (lowering portion) of the exercise can help to improve tension and mind muscle connection."
Standing Barbell Curl,Biceps,None,biceps,Barbell,Beginner,Isolation,Pull,Strength,"The Standing Barbell Curl is a bicep-focused exercise that targets the upper arms, primarily working the biceps brachii. This exercise is effective for building bicep strength and size and can be done with varying weight and rep ranges to suit different fitness goals. Proper form—avoiding body swinging and maintaining control throughout the movement—is key for maximum effectiveness.",1,1,0,https://www.muscleandstrength.com/exercises/standing-barbell-curl.html,https://player.vimeo.com/video/760008460?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,"Grasp a barbell or EZ bar with an underhand grip and stand with your feet around shoulder-width apart. This is the starting position for the exercise. Bending at the elbows, slowly curl the weight up as far as possible. Squeeze the biceps, and then slowly lower the weight back to the starting position. This is one rep. Repeat for desired reps.",Keep your elbows at your sides throughout the movement and only move your forearms. Keep the movement slow and controlled. Do not swing the weight.,Standing Barbell Curl,Biceps,None,biceps,Barbell,Beginner,Isolation,Pull,Strength,"The Standing Barbell Curl is a bicep-focused exercise that targets the upper arms, primarily working the biceps brachii. This exercise is effective for building bicep strength and size and can be done with varying weight and rep ranges to suit different fitness goals. Proper form—avoiding body swinging and maintaining control throughout the movement—is key for maximum effectiveness.",1,1,0,https://www.muscleandstrength.com/exercises/standing-barbell-curl.html,https://player.vimeo.com/video/760008460?title=0&byline=0&portrait=0&badge=0&autopause=0&player_id=0&app_id=58479,"Grasp a barbell or EZ bar with an underhand grip and stand with your feet around shoulder-width apart. This is the starting position for the exercise. Bending at the elbows, slowly curl the weight up as far as possible. Squeeze the biceps, and then slowly lower the weight back to the starting position. This is one rep. Repeat for desired reps.",Keep your elbows at your sides throughout the movement and only move your forearms. Keep the movement slow and controlled. Do not swing the weight.
